path	june	july
A/1538	5918	7002
A/1539	5921	7005
A/154	5874	6958
A/1540	5897	6981
A/1541	5922	7006
A/1542	5922	7006
A/1543	5922	7006
A/1544	5926	7010
A/1545	5924	7008
A/1546	5922	7006
A/1547	5928	6979
A/1548	5924	7008
A/1549	5924	7008
A/155	5872	6956
A/1550	5910	6994
A/1551	5929	7013
A/1552	5926	7010
A/1553	5926	7010
A/1554	5928	7012
A/1555	5927	7011
A/1556	5924	7008
A/1557	5928	7012
A/1558	5924	7008
A/1559	5926	7010
A/156	5870	6954
A/1560	5897	6981
A/1561	5922	7006
A/1562	5923	7007
A/1563	5922	7006
A/1564	5926	7010
A/1565	5924	7008
A/1566	5922	7006
A/1567	5929	7013
A/1568	5924	7008
A/1569	5924	7008
A/157	5874	6958
A/1570	5910	6994
A/1571	5928	7012
A/1572	5926	7010
A/1573	5926	7010
A/1574	5928	7012
A/1575	5926	7010
A/1576	5924	7008
A/1577	5928	7012
A/1578	5924	7008
A/1579	5926	7010
A/158	5870	6954
A/1580	5901	6985
A/1581	5926	7010
A/1582	5926	7010
A/1583	5926	7010
A/1584	5930	7014
A/1585	5928	7012
A/1586	5926	7010
A/1587	5932	7016
A/1588	5928	7012
A/1589	5928	7012
A/159	5872	6956
A/1590	5912	6996
A/1591	5932	7016
A/1592	5930	7014
A/1593	5930	7014
A/1594	5932	7016
A/1595	5930	6981
A/1596	5928	7012
A/1597	5932	7016
A/1598	5928	7012
A/1599	5930	7014
A/15_(ахыҧхьаӡара)	26901	6544
A/15_(ахыԥхьаӡара)	26901	6544
A/15_жьҭаара	10885	11658
A/16	7883	9172
A/160	5843	6927
A/1600	5860	6944
A/1601	5890	6974
A/1602	5890	6974
A/1603	5890	6974
A/1604	5894	6978
A/1605	5892	6976
A/1606	5890	6974
A/1607	5896	6980
A/1608	5892	6976
A/1609	5892	6976
A/161	5868	6952
A/1610	5894	6978
A/1611	5896	6980
A/1612	5894	6978
A/1613	5895	6979
A/1614	5896	6980
A/1615	5894	6978
A/1616	5892	6976
A/1617	5897	6981
A/1618	5892	6976
A/1619	5894	6978
A/162	5868	6952
A/1620	5894	6978
A/1621	5919	7003
A/1622	5919	7003
A/1623	5919	7003
A/1624	5923	7007
A/1625	5921	7005
A/1626	5919	7003
A/1627	5925	7009
A/1628	5921	7005
A/1629	5921	7005
A/163	5868	6952
A/1630	5905	6989
A/1631	5925	7009
A/1632	5923	6974
A/1633	5923	7007
A/1634	5925	7009
A/1635	5923	7007
A/1636	5921	7005
A/1637	5926	6977
A/1638	5922	7006
A/1639	5923	7007
A/164	5872	6956
A/1640	5900	6949
A/1641	5925	7009
A/1642	5925	7009
A/1643	5925	7009
A/1644	5929	7013
A/1645	5927	7011
A/1646	5925	7009
A/1647	5932	7016
A/1648	5927	7011
A/1649	5927	7011
A/165	5871	6955
A/1650	5913	6997
A/1651	5931	7015
A/1652	5929	7013
A/1653	5929	7013
A/1654	5931	7015
A/1655	5929	7013
A/1656	5928	7012
A/1657	5931	7015
A/1658	5927	7011
A/1659	5929	7013
A/166	5868	6952
A/1660	5900	6984
A/1661	5925	7009
A/1662	5925	7009
A/1663	5926	7010
A/1664	5929	7013
A/1665	5927	7011
A/1666	5925	7009
A/1667	5931	7015
A/1668	5927	7011
A/1669	5927	7011
A/167	5874	6958
A/1670	5913	6997
A/1671	5931	7015
A/1672	5929	7013
A/1673	5929	7013
A/1674	5931	7015
A/1675	5929	7013
A/1676	5927	7011
A/1677	5931	7015
A/1678	5927	7011
A/1679	5929	7013
A/168	5870	6954
A/1680	5904	6988
A/1681	5929	7013
A/1682	5929	7013
A/1683	5929	7013
A/1684	5933	7017
A/1685	5931	7015
A/1686	5929	7013
A/1687	5935	7019
A/1688	5932	7016
A/1689	5931	7015
A/169	5870	6954
A/1690	5915	6999
A/1691	5935	7019
A/1692	5933	7017
A/1693	5933	7017
A/1694	5935	7019
